Time(seconds),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,2,2,2,3,2,2
3,5,4,3,5,4,4
4,7,6,4,7,7,7
5,9,8,5,9,9,9
6,11,10,6,12,11,12
7,14,12,7,14,13,13
8,16,14,9,16,15,15
9,18,16,10,18,17,16
10,20,18,11,21,20,18
11,22,20,12,23,22,20
12,25,22,13,25,23,21
13,27,25,15,27,25,24
14,29,26,16,30,27,25
15,31,28,17,32,30,27
16,34,30,18,34,32,29
17,36,32,19,36,34,31
18,38,35,20,38,36,34
19,40,37,22,41,39,37
20,42,39,23,43,41,38
21,45,40,24,45,43,41
22,47,42,25,47,44,43
23,49,44,27,50,46,45
24,51,46,28,51,48,47
25,54,48,29,52,50,49
26,56,50,30,53,52,51
27,56,52,32,54,54,53
28,58,54,33,54,56,54
29,60,56,34,55,58,54
30,62,59,35,56,60,55
31,64,61,36,57,62,57
32,66,63,38,58,64,59
33,68,66,39,59,66,60
34,70,68,40,60,68,61
35,72,70,41,61,70,63
36,74,72,43,62,72,65
37,76,74,44,63,74,66
38,78,76,45,64,76,67
39,81,78,46,65,78,68
40,83,81,47,66,80,70
41,85,83,49,67,82,71
42,87,85,50,68,84,73
43,90,87,51,69,86,74
44,92,89,51,70,88,76
45,94,91,51,70,89,77
46,96,94,52,71,92,78
47,99,96,53,72,94,80
48,101,99,54,73,96,82
49,103,101,55,74,98,84
50,105,103,56,75,99,86
51,107,105,57,76,100,87
52,110,107,58,77,102,88
53,112,109,59,78,104,89
54,114,110,60,79,106,90
55,116,111,61,80,108,92
56,118,113,62,81,110,93
57,120,115,63,81,112,95
58,122,117,64,82,113,96
59,124,,,,,
