Size (MB),'Laptop X 1','Rpi X 1','Edison X 1','Rpi X 2','Edison X 2'
0.040788,0.0220301151,0.991091013,1.180273056,0.5419539213,0.7354769707
0.071234,0.0466006756,2.762789011,2.9815299511,1.4840284586,1.7713365555
0.098147,0.0721266747,4.7015070915,4.9495911598,2.5051831007,2.9253191948
0.137829,0.1294342518,10.1626570225,9.7097711563,5.3418381214,5.6095106602
0.268119,0.3128320217,21.7000420094,23.2323219776,11.4538605214,13.518865943
0.463085,0.6701348305,46.4160778522,48.6188731194,24.4298048019,27.905579567
0.655807,1.0714478016,76.3254261017,82.6748580933,40.0666675568,48.7628766299
0.830454,1.4883347988,102.019751787,115.046870947,53.6027967928,70.1381698848
0.989454,1.9015843868,127.329694033,146.202733994,66.8985155825,89.2577680355
1.18977,2.9703383446,242.441132069,205.656173944,125.2392500645,122.1327123635
1.371783,3.0208834171,197.450726986,214.312420845,103.61808002,127.4347953795
1.455017,4.7659363747,302.08102107,341.537134886,158.457667112,209.3178919555
