Size(pixels)	piX1	ltX1	piX2
158800	0.894327878952	0.0147157907486	0.526510477066
407040	2.55829381943	0.0382302045822	1.45115041733
636000	4.24766397476	0.0600019931793	2.49894702435
1041408	9.71658682823	0.116943693161	5.2442920208
2544000	20.3389549255	0.282250881195	11.0621314049
5127904	43.6480200291	0.599484705925	24.0026725531
7879168	73.0917520523	0.964620494843	39.7415504456
10585152	94.9511628151	1.33211560249	51.9632610083
13220352	119.613816977	1.71833992004	66.0707285404
16666624	235.482480049	2.86093690395	123.005639076
19940480	185.589900017	2.88329088688	101.746536613
30139776	281.190222025	4.51132309437	154.691745996
