Size(MB),“Laptop X 1”,“Rpi X 1”,“Edison X 1”,“Rpi X 2”,“Edison X 2”
0.040788,0.0923084259,1.0763309002,3.0617659092,0.6178199053,1.6534284353
0.071234,0.144189024,2.7692549229,8.3577780724,1.4926594496,4.4435355663
0.098147,0.2100429535,4.6136639118,12.800028801,2.4812508822,6.7540272475
0.137829,0.3532380104,10.4575879574,23.0231699944,5.494532466,12.1213464738
0.268119,0.818124342,21.936013937,53.6779119968,11.581291914,28.2095030546
0.463085,1.6657274246,46.683811903,110.246201038,24.6182944775,57.8734209535
0.655807,2.6164572239,78.4486949444,174.570899963,41.1148699522,91.507385492
0.830454,3.5993163586,102.024197102,236.398952007,53.5462955241,123.7198430295
0.989454,4.5777788162,128.897436857,295.893046141,67.6969773765,155.2731345895
1.18977,6.3359193802,239.137686014,392.100918055,123.6839109655,204.877170563
1.371783,7.2623301506,199.224328041,444.703459978,104.4501435755,232.6785675285
1.455017,11.2570029259,298.51139307,661.83682704,156.668874979,347.51789856
