Size(MB) "Laptop X 1" "Rpi X 1" "Edison X 1"
0.040788 0.1433958054 0.9062321186 6.7188398838
0.071234 0.3235726357 2.700124979 17.9911968708
0.098147 0.4607204914 4.2717680931 26.9362111092
0.137829 0.7536189556 9.6672639847 47.924172163
0.268119 1.6861963749 20.410449028 108.841566086
0.463085 3.4504077911 44.7178249359 221.50427413
0.655807 5.5075129986 74.8554270267 350.045346022
0.830454 7.9748912334 97.0142478943 479.802368164
0.989454 10.2293237209 121.678126097 598.258253098
1.18977 13.8408981323 224.778517008 771.332463026
1.371783 16.4781190395 187.871860981 903.13835597
1.455017 25.5193820477 287.346100092 1343.62463593
